ID,Labels,F0,F1,F2,F3,F4,Time
CDMN2E2SF005_LEC,CODCLa_T,255.80363,722.6001,1892.16264,2999.75102,3897.79019,0.11119
CDMN2E2SF005_LEC,COSVaCVS_T,234.60765,720.1859,1724.08999,2514.52015,3470.35173,0.16584
CDMN2E2SF005_LEC,COVa_T,236.11302,760.37127,1803.48076,2556.34395,3807.60701,0.08726
CDMN2E2SF005_LEC,COSDa_T,243.22723,763.59905,1683.83653,2774.94736,3966.85608,0.09577
CDMN2E2SF005_LEC,COVa_T,214.92206,677.06997,1781.8814,2526.57984,3965.06687,0.05912
CDMN2E2SF005_LEC,CAPa_T,302.36723,825.7638,1699.04911,2632.94818,3851.05389,0.07614
CDMN2E2SF005_LEC,CNBaCFA_T,251.19591,802.83605,1698.49236,2607.45293,3792.84233,0.14212
CDMN2E2SF005_LEC,CNAa_T,236.13049,747.7039,1719.33694,2868.20931,4191.95128,0.09175
CDMN2E2SF005_LEC,COSDCVSaCFA_T,264.16728,600.12899,1829.66396,2848.08261,4075.08007,0.10992
CDMN2E2SF005_LEC,CFLaCNA_T,216.35393,787.26451,1554.35859,2589.86033,3881.51834,0.13958
CDMN2E2SF005_LEC,COSBaCVS_T,221.79607,690.32461,1691.72599,2796.87538,3647.87014,0.21926
CDMN2E2SF005_LEC,COSDa_T,237.40814,638.88924,1751.29588,3005.94992,3943.9651,0.05794
CDMN2E2SF005_LEC,COSVaCNA,239.4237,628.05128,1879.81984,2511.09613,3451.00363,0.09861
CDMN2E2SF005_LEC,CLa_T,202.03599,689.07509,1820.37382,2800.93112,3613.23591,0.09133
CDMN2E2SF005_LEC,CVMa_A,270.85997,671.61598,1786.0125,2811.10133,4054.88957,0.08324
CDMN2E2SF005_LEC,CLa_T,215.92141,771.21707,1820.834,2821.49788,3567.26806,0.1138
CDMN2E2SF005_LEC,CNAa_T,181.08841,720.47283,1459.44193,2881.37211,3815.63391,0.09648
CDMN2E2SF005_LEC,CODa_T,214.16237,557.87066,1820.8483,3059.67804,4184.03776,0.10149
CDMN2E2SF005_LEC,COBa_T,213.4886,690.98851,1824.64176,2680.96851,3583.95299,0.06153
CDMN2E2SF005_LEC,CVSa_T,191.99459,667.09782,1795.05908,2740.10585,3849.10997,0.05649
CDMN3E3SF004_LEC,CLa_T,225.86838,679.40746,1908.28172,2645.84891,4075.62204,0.07283
CDMN3E3SF004_LEC,COSDa_A,217.7232,695.55788,1821.19874,2656.1604,3976.71869,0.05581
CDMN3E3SF004_LEC,COBa_T,207.11205,668.09139,1676.33541,2608.40647,3867.46709,0.05297
CDMN3E3SF004_LEC,CFAa_A,202.54336,609.87281,1483.88939,2666.34799,3943.47106,0.06148
CDMN3E3SF004_LEC,CLaCFA_T,170.68314,716.38468,1855.93501,2734.49743,4229.60468,0.0577
CDMN3E3SF004_LEC,CFLa_A,181.65771,657.70464,1562.07566,2601.93546,3848.35482,0.07
CDMN3E3SF004_LEC,CFAa_T,234.35933,709.77511,1762.13241,2739.71593,4096.07766,0.08891
CDMN3E3SF004_LEC,COSDa_T,178.1373,627.95479,1746.19154,2695.54745,3910.16908,0.06337
CDMN3E3SF004_LEC,CODCVSa_T,181.39735,668.40606,1833.52561,2598.3865,4183.49141,0.04824
CDMN3E3SF004_LEC,CVMa_T,214.96573,643.46136,1897.91025,2651.06837,4146.60059,0.05392
CDMN3E3SF004_LEC,CODaCFA_A,133.92521,702.721,1997.44164,2734.93794,4223.49301,0.07756
CDMN3E3SF004_LEC,COBa_T,172.56717,677.96569,1622.47972,2732.30983,4007.89583,0.07945
CDMN3E3SF004_LEC,CFAa_T,169.83032,693.4119,1731.01231,2763.90195,4094.8404,0.07945
CDMN3E3SF004_LEC,COSBa_T,159.03733,721.2327,1524.77172,2696.40504,3918.88452,0.07662
CDMN3E3SF004_LEC,CAPaCNA_A,164.22659,682.01976,1720.07274,2635.7947,4065.2702,0.05108
CDMN3E3SF004_LEC,CLaCFA_T,170.9952,619.21279,1767.98443,2633.33943,3975.80219,0.08135
CDMN3E3SF004_LEC,COSDSaCNA_A,172.09072,653.97551,1887.52452,2627.15564,3907.11547,0.08513
CDMN3E3SF004_LEC,CLaCFA_A,202.193,659.85035,1783.51391,2802.11696,4169.71064,0.08229
CDMN3E3SF004_LEC,CNBa_T,205.65683,655.04795,1640.43484,2774.3374,3585.13524,0.08418
CDMN3E3SF004_LEC,COSBa_T,164.3671,588.61164,1648.51424,2647.25982,3986.55184,0.08362
CDMN3E3SF004_LEC,CLa_T,152.8321,629.72118,1499.91434,2581.74109,3584.80877,0.06148
CDMN3E3SF004_LEC,COVa_T,160.30641,620.08967,1725.51705,2646.85545,3799.98905,0.06432
CDMN3E3SF004_LEC,CNBa_T,162.64257,736.44359,1828.82214,2671.94151,3954.70255,0.15323
CDMN3E3SF004_LEC,CFPa_T,233.71827,651.28257,1977.51809,2832.98972,3721.7473,0.06148
CDMN3E3SF004_LEC,COVaCNA_T,212.03819,643.43665,1852.26141,2591.45516,4101.90669,0.07567
CDMN3E3SF004_LEC,CLaCFA_A,161.7486,654.64206,1842.28176,2607.30364,4178.98537,0.07851
CDMN3E3SF004_LEC,CODCVSa_A,171.18357,571.40815,1930.55162,2682.72168,4126.97792,0.08608
CDMN3E3SF004_LEC,CNAa_A,173.7043,676.12734,1839.04595,2755.68077,3990.81876,0.05486
CDMN3E3SF004_LEC,CVSa_T,172.87929,716.63174,1819.04544,2600.99348,3423.07577,0.07283
CDMN3E3SF004_LEC,COSDa_A,198.59618,680.33555,1767.30013,2585.74495,3983.14855,0.09932
CDMN3E3SF004_LEC,CLaCFA_T,201.76107,694.57955,1885.72994,2648.82722,4008.33562,0.07756
CDMN3E3SF004_LEC,COVa_T,270.95814,730.51996,1900.51435,2667.82565,4176.56163,0.07283
CDMN3E3SF004_LEC,CFAaCFA_A,295.38949,588.76244,1689.59309,2823.26567,4158.48977,0.05959
CDMN3E3SF004_LEC,CNAaCFA_T,222.01091,614.17204,1761.9506,2831.57197,4197.75647,0.06621
CDMN3E3SF004_LEC,COVa_T,169.40132,576.88957,1823.06066,2604.626,3964.11387,0.05581
CDMN3E3SF004_LEC,CVSa_TA,126.79418,706.36326,1933.67937,2625.43021,3865.8664,0.06243
CDMN3E3SF004_LEC,CLaCFA_T,155.18763,529.06483,1763.92232,2618.62071,3880.12236,0.06243
CDMN3E3SF004_LEC,CNBa_T,184.57416,740.89805,1645.2637,2621.26171,3866.47404,0.07662
CDMN3E3SF004_LEC,CLaCFA_S,194.08685,711.00303,1816.63461,2688.19233,4001.11463,0.05675
CDMN3E3SF004_LEC,CLa_A,166.65795,699.71342,1803.30569,2569.99074,3183.93483,0.07756
CDMN3E3SF004_LEC,CODaCNA_T,232.72372,658.53296,1800.88588,2591.57241,4066.41003,0.07945
